MQ3_raw,MQ135_raw,MQ2_raw,label
928,1251,326,Healthy
928,1250,327,Healthy
928,1250,325,Healthy
928,1252,326,Healthy
929,1250,328,Healthy
928,1249,325,Healthy
927,1249,327,Healthy
929,1250,331,Healthy
930,1251,329,Healthy
929,1250,323,Healthy
928,1250,327,Healthy
929,1250,326,Healthy
929,1250,326,Healthy
931,1251,326,Healthy
933,1251,327,Healthy
935,1253,329,Healthy
934,1254,330,Healthy
938,1257,327,Healthy
935,1254,328,Healthy
937,1253,330,Healthy
937,1252,326,Healthy
933,1253,327,Healthy
934,1253,330,Healthy
928,1253,326,Healthy
930,1254,326,Healthy
926,1252,326,Healthy
926,1253,323,Healthy
931,1253,329,Healthy
927,1250,329,Healthy
923,1250,326,Healthy
932,1251,329,Healthy
923,1251,326,Healthy
927,1251,324,Healthy
927,1252,326,Healthy
929,1250,325,Healthy
929,1251,327,Healthy
928,1251,327,Healthy
931,1251,327,Healthy
928,1251,322,Healthy
925,1252,327,Healthy
927,1249,327,Healthy
928,1251,325,Healthy
927,1252,327,Healthy
928,1251,326,Healthy
928,1253,325,Healthy
929,1254,327,Healthy
930,1253,330,Healthy
928,1254,327,Healthy
925,1253,327,Healthy
931,1255,329,Healthy
932,1254,323,Healthy
929,1253,329,Healthy
927,1253,327,Healthy
930,1255,328,Healthy
926,1252,326,Healthy
928,1250,322,Healthy
927,1253,327,Healthy
927,1253,326,Healthy
928,1253,326,Healthy
929,1251,330,Healthy
928,1253,325,Healthy
930,1253,329,Healthy
930,1254,326,Healthy
930,1251,327,Healthy
927,1252,329,Healthy
927,1253,330,Healthy
931,1254,325,Healthy
932,1255,326,Healthy
927,1253,327,Healthy
925,1251,327,Healthy
932,1252,332,Healthy
927,1253,326,Healthy
931,1251,332,Healthy
932,1254,330,Healthy
927,1253,330,Healthy
930,1254,330,Healthy
931,1251,327,Healthy
928,1253,331,Healthy
928,1253,332,Healthy
933,1255,331,Healthy
929,1254,331,Healthy
933,1253,331,Healthy
926,1254,330,Healthy
934,1254,332,Healthy
928,1252,329,Healthy
929,1251,328,Healthy
927,1253,324,Healthy
930,1253,327,Healthy
930,1251,327,Healthy
931,1252,326,Healthy
928,1251,330,Healthy
927,1251,331,Healthy
928,1251,327,Healthy
927,1251,328,Healthy
931,1253,331,Healthy
929,1252,327,Healthy
938,1255,329,Healthy
938,1253,331,Healthy
935,1254,330,Healthy
938,1254,327,Healthy
938,1254,327,Healthy
934,1253,330,Healthy
939,1251,327,Healthy
936,1256,330,Healthy
939,1255,330,Healthy
937,1256,331,Healthy
935,1255,333,Healthy
938,1253,330,Healthy
939,1255,335,Healthy
941,1254,333,Healthy
939,1258,333,Healthy
939,1258,330,Healthy
937,1257,331,Healthy
938,1254,331,Healthy
938,1254,332,Healthy
938,1254,332,Healthy
937,1254,330,Healthy
937,1255,331,Healthy
939,1255,331,Healthy
938,1255,333,Healthy
935,1255,329,Healthy
939,1253,332,Healthy
937,1255,329,Healthy
938,1254,329,Healthy
938,1254,332,Healthy
935,1254,331,Healthy
937,1255,329,Healthy
938,1255,327,Healthy
939,1255,333,Healthy
938,1253,331,Healthy
935,1255,330,Healthy
941,1255,331,Healthy
935,1254,333,Healthy
939,1254,331,Healthy
938,1257,334,Healthy
938,1255,331,Healthy
938,1257,330,Healthy
939,1255,332,Healthy
939,1254,327,Healthy
937,1254,329,Healthy
939,1255,331,Healthy
935,1243,325,Healthy
939,1257,332,Healthy
938,1252,325,Healthy
937,1254,326,Healthy
942,1254,333,Healthy
935,1255,331,Healthy
937,1254,330,Healthy
939,1251,330,Healthy
938,1253,333,Healthy
939,1255,331,Healthy
939,1259,331,Healthy
935,1255,329,Healthy
938,1255,330,Healthy
937,1253,327,Healthy
940,1257,331,Healthy
938,1254,330,Healthy
935,1254,327,Healthy
937,1255,331,Healthy
937,1254,328,Healthy
939,1254,330,Healthy
939,1254,330,Healthy
941,1258,333,Healthy
937,1253,332,Healthy
935,1255,331,Healthy
937,1256,332,Healthy
938,1253,329,Healthy
937,1243,327,Healthy
938,1253,327,Healthy
935,1254,327,Healthy
940,1255,332,Healthy
937,1254,330,Healthy
938,1255,332,Healthy
938,1255,327,Healthy
938,1253,329,Healthy
938,1254,328,Healthy
937,1255,330,Healthy
937,1255,331,Healthy
938,1255,329,Healthy
938,1253,327,Healthy
938,1252,327,Healthy
938,1254,331,Healthy
939,1254,331,Healthy
937,1254,330,Healthy
938,1253,329,Healthy
